SERVICIOS GENERALES MCCOMICS
SANTIAGO DE SURCO,"","",LISTADO DE PIEZAS
Cliente,"","","","",Telf.,"","","",Fecha
""
""
MELAMINA COMPONENTE#475 18 MM — TOTAL: 1 PIEZAS,"","","","","","","","","","","","","","","","","",""
Nº,DESCRIPCIÓN,CANT.,LARGO,ANCHO,ESPESOR,VETA,L1,L2,A1,A2,PERF_CANT,PERF_LADO,LADO,DIST,PROF,ESP,ENGROSADO,CORTE ESPECIAL
1,Componente#475,1,2357,394,18,S,GRUESO,DELGADO,GRUESO,GRUESO,"","","","","","","",""

